,Link,Image,Price,Details,Title,Location
1,https://www.olx.com.pk/item/honda-city-automatic-2018-metallic-grey-iid-1009527537,https://apollo-singapore.akamaized.net:443/v1/files/0ubmqqx8nvqf3-PK/image;s=272x0,"Rs 2,425,000","2018 - 10,800 km",Honda city Automatic 2018 Metallic Grey,"Faisal Town, Lahore"
2,https://www.olx.com.pk/item/honda-city-13-2018-i-vtec-prosmatec-iid-1011228031,https://apollo-singapore.akamaized.net:443/v1/files/uh8o76jv9e6d2-PK/image;s=272x0,"Rs 2,350,000","2018 - 43,000 km",Honda City 1.3 2018  i-VTEC Prosmatec,"Kalma Chowk, Lahore"
3,https://www.olx.com.pk/item/total-genuine-city-aspire-1500cc-iid-1011327041,https://apollo-singapore.akamaized.net:443/v1/files/rq5bjn9nt6lk-PK/image;s=272x0,"Rs 1,890,000","2015 - 73,000 km",TOTAL GENUINE CITY ASPIRE 1500cc,"Model Town, Lahore"
4,https://www.olx.com.pk/item/honda-civic-1997-prosmatic-excellent-neat-and-clean-ousam-scratchless-iid-1011178506,https://apollo-singapore.akamaized.net:443/v1/files/hfk6z7dgcw1e1-PK/image;s=272x0,"Rs 725,000","1997 - 237,000 km",Honda civic 1997 prosmatic excellent neat and clean ousam scratchless,"Rail Town (Canal City), Lahore"
5,https://www.olx.com.pk/item/honda-city-15-automatic-2019-2-register-iid-1011291744,https://apollo-singapore.akamaized.net:443/v1/files/qlouuj16kgm72-PK/image;s=272x0,"Rs 2,500,000","2018 - 24,356 km",Honda city 1.5 automatic 2019 / 2 register,"Burma Town, Islamabad"
6,https://www.olx.com.pk/item/honda-city-iid-1011253027,https://apollo-singapore.akamaized.net:443/v1/files/o07gwk315lvr1-PK/image;s=272x0,"Rs 1,800,000","2013 - 20,000 km",Honda City,"Sialkot, Punjab"
7,https://www.olx.com.pk/item/honda-city-2016-model-manual-gear-just-like-new-car-out-class-conditio-iid-1010877302,https://apollo-singapore.akamaized.net:443/v1/files/lgc55kwazd3d3-PK/image;s=272x0,"Rs 1,700,000","2016 - 50,000 km",Honda city 2016 model manual gear just like new car out class conditio,"Khalid Bin Walid Road, Karachi"
8,https://www.olx.com.pk/item/honda-city-for-sale-iid-1011260051,https://apollo-singapore.akamaized.net:443/v1/files/fu3ttko43oyl2-PK/image;s=272x0,"Rs 970,000","2005 - 123,456 km",Honda city for sale,"Tollinton Market Road, Lahore"
9,https://www.olx.com.pk/item/honda-city-manual-2001-iid-1011335932,https://apollo-singapore.akamaized.net:443/v1/files/blz8i91w83q13-PK/image;s=272x0,"Rs 640,000","2001 - 146,398 km",Honda city manual 2001,"Rashid Minhas Road, Karachi"
10,https://www.olx.com.pk/item/honda-city-2005-model-silver-colour-iid-1011335859,https://apollo-singapore.akamaized.net:443/v1/files/50r2qarxrrem-PK/image;s=272x0,"Rs 865,000","2005 - 191,000 km",Honda city 2005 model silver colour,"Millat Road, Lahore"
11,https://www.olx.com.pk/item/honda-city-2015-full-genuine-iid-1011335852,https://apollo-singapore.akamaized.net:443/v1/files/jd6zg6eugdyd3-PK/image;s=272x0,"Rs 1,880,000","2015 - 120,000 km",Honda City 2015 full genuine,"Agha Shahi Avenue, Islamabad"
12,https://www.olx.com.pk/item/honda-city-iid-1011335526,https://apollo-singapore.akamaized.net:443/v1/files/77d6s3ut910b-PK/image;s=272x0,"Rs 1,740,000","2014 - 84,000 km",Honda city,"Murree Road, Rawalpindi"
13,https://www.olx.com.pk/item/hinda-city-prosmatic-b2b-geniun-18-19-iid-1011335506,https://apollo-singapore.akamaized.net:443/v1/files/nxacwbvbb44c2-PK/image;s=272x0,"Rs 2,390,000","2018 - 13,700 km",Hinda city prosmatic b2b geniun 18_19,"Sialkot, Punjab"
14,https://www.olx.com.pk/item/honda-city-almost-genuine-iid-1011335457,https://apollo-singapore.akamaized.net:443/v1/files/6c38peeu42f03-PK/image;s=272x0,"Rs 600,000","2000 - 190,000 km",Honda city almost genuine,"Gujranwala, Punjab"
15,https://www.olx.com.pk/item/b2b-city-prosmatic-13-iid-1011335440,https://apollo-singapore.akamaized.net:443/v1/files/zjvn1esnocpg3-PK/image;s=272x0,"Rs 2,395,000","2018 - 25,000 km",B2b City prosmatic 1.3,"DHA EME Sector, Lahore"
16,https://www.olx.com.pk/item/honda-city-2001-book-and-file-genion-iid-1011335284,https://apollo-singapore.akamaized.net:443/v1/files/kp2itigg9nym1-PK/image;s=272x0,"Rs 550,000","2001 - 38,256 km",Honda city 2001 book and file genion,"Bismillah Housing Scheme, Lahore"
17,https://www.olx.com.pk/item/honda-city-2004-vario-iid-1011335175,https://apollo-singapore.akamaized.net:443/v1/files/mh60hhj8ntrm1-PK/image;s=272x0,"Rs 80,000","2004 - 180,463 km",Honda city 2004 vario,"Tahir Villa, Karachi"
18,https://www.olx.com.pk/item/honda-vezel-2014-model-better-than-prius-aqua-civic-corolla-city-fit-iid-1010663877,https://apollo-singapore.akamaized.net:443/v1/files/zn1xogs9e8j73-PK/image;s=272x0,"Rs 3,650,000","2014 - 72,000 km",Honda vezel 2014 model better than Prius aqua civic corolla city fit,"Khalid Bin Walid Road, Karachi"
19,https://www.olx.com.pk/item/honda-city-aspire-15-for-sell-iid-1011335055,https://apollo-singapore.akamaized.net:443/v1/files/jtnx0bpgg6r92-PK/image;s=272x0,"Rs 1,650,000","2014 - 102,000 km",Honda city aspire 1.5 for sell,"Peshawar Road, Rawalpindi"
20,https://www.olx.com.pk/item/honda-city-2003-iid-1011334558,https://apollo-singapore.akamaized.net:443/v1/files/z2irlsec60ma-PK/image;s=272x0,"Rs 660,000","2003 - 200,000 km",Honda City 2003,"Gulshan-e-Ravi, Lahore"
